server_name,n_models,avg_score,total_score
Alexander Zverev,4,1,4
Grigor Dimitrov,4,1,4
Tommy Paul,4,0.75,3
Alexander Bublik,4,0.5,2
Alexandre Muller,4,0.5,2
Alize Cornet,4,0.5,2
Anastasija Sevastova,4,0.5,2
Andy Murray,4,0.5,2
Arthur Rinderknech,4,0.5,2
Barbora Krejcikova,4,0.5,2
Beatriz Haddad Maia,4,0.5,2
Bianca Andreescu,4,0.5,2
Brandon Nakashima,4,0.5,2
Dayana Yastremska,4,0.5,2
Donna Vekic,4,0.5,2
Iga Swiatek,4,0.5,2
Laslo Djere,4,0.5,2
Laura Siegemund,4,0.5,2
Lauren Davis,4,0.5,2
Marie Bouzkova,4,0.5,2
Novak Djokovic,4,0.5,2
Petra Martic,4,0.5,2
Philipp Kohlschreiber,4,0.5,2
Simona Halep,4,0.5,2
Stefanos Tsitsipas,4,0.5,2
Taylor Fritz,4,0.5,2
Victoria Azarenka,4,0.5,2
Adrian Mannarino,4,0.25,1
Angelique Kerber,4,0.25,1
Belinda Bencic,4,0.25,1
Caroline Garcia,4,0.25,1
Coco Gauff,4,0.25,1
Jannik Sinner,4,0.25,1
Jessica Pegula,4,0.25,1
John Isner,4,0.25,1
Ons Jabeur,4,0.25,1
Qinwen Zheng,4,0.25,1
Roman Safiullin,4,0.25,1
Ugo Humbert,4,0.25,1
Varvara Gracheva,4,0.25,1
Viktorija Golubic,4,0.25,1
Yoshihito Nishioka,4,0.25,1
Alejandro Davidovich Fokina,4,0,0
Alejandro Tabilo,4,0,0
Aleksandar Kovacevic,4,0,0
Aleksandar Vukic,4,0,0
Alex De Minaur,4,0,0
Alex Molcan,4,0,0
Alex de Minaur,4,0,0
Alexei Popyrin,4,0,0
Aliaksandra Sasnovich,4,0,0
Alison Van Uytvanck,4,0,0
Aljaz Bedene,4,0,0
Amanda Anisimova,4,0,0
Anastasia Potapova,4,0,0
Andrea Petkovic,4,0,0
Anett Kontaveit,4,0,0
Anhelina Kalinina,4,0,0
Anna Blinkova,4,0,0
Anna Kalinskaya,4,0,0
Arantxa Rus,4,0,0
Aslan Karatsev,4,0,0
Ben Shelton,4,0,0
Bernarda Pera,4,0,0
Borna Coric,4,0,0
Botic Van De Zandschulp,4,0,0
Botic van De Zandschulp,4,0,0
Brenda Fruhvirtova,4,0,0
Cameron Norrie,4,0,0
Camila Giorgi,4,0,0
Caroline Wozniacki,4,0,0
Casper Ruud,4,0,0
Caty McNally,4,0,0
Clara Burel,4,0,0
Clara Tauson,4,0,0
Cristian Garin,4,0,0
Cristina Bucsa,4,0,0
Daniel Evans,4,0,0
Danielle Collins,4,0,0
Daria Kasatkina,4,0,0
Daria Saville,4,0,0
David Goffin,4,0,0
Denis Kudla,4,0,0
Denis Shapovalov,4,0,0
Diana Shnaider,4,0,0
Diego Schwartzman,4,0,0
Dominic Stricker,4,0,0
Dominic Thiem,4,0,0
Dusan Lajovic,4,0,0
Ekaterina Alexandrova,4,0,0
Elena Rybakina,4,0,0
Elias Ymer,4,0,0
Elina Avanesyan,4,0,0
Elisabetta Cocciaretto,4,0,0
Elise Mertens,4,0,0
Emil Ruusuvuori,4,0,0
Emma Raducanu,4,0,0
Fabian Marozsan,4,0,0
Fabio Fognini,4,0,0
Federico Delbonis,4,0,0
Feliciano Lopez,4,0,0
Frances Tiafoe,4,0,0
Francisco Cerundolo,4,0,0
Gael Monfils,4,0,0
Gijs Brouwer,4,0,0
Greet Minnen,4,0,0
Guido Pella,4,0,0
Harmony Tan,4,0,0
Harriet Dart,4,0,0
Heather Watson,4,0,0
Holger Rune,4,0,0
Hubert Hurkacz,4,0,0
Jack Draper,4,0,0
Jack Sock,4,0,0
James Duckworth,4,0,0
Jaqueline Cristian,4,0,0
Jasmine Paolini,4,0,0
Jason Kubler,4,0,0
Jaume Munar,4,0,0
Jenson Brooksby,4,0,0
Jessica Bouzas Maneiro,4,0,0
Jiri Lehecka,4,0,0
Jiri Vesely,4,0,0
John Millman,4,0,0
Jule Niemeier,4,0,0
Juncheng Shang,4,0,0
Kaia Kanepi,4,0,0
Kaja Juvan,4,0,0
Katerina Siniakova,4,0,0
Kateryna Kozlova,4,0,0
Kevin Anderson,4,0,0
Lesia Tsurenko,4,0,0
Liam Broady,4,0,0
Lin Zhu,4,0,0
Linda Noskova,4,0,0
Liudmila Samsonova,4,0,0
Lloyd Harris,4,0,0
Lorenzo Musetti,4,0,0
Lorenzo Sonego,4,0,0
Lucas Pouille,4,0,0
Lulu Sun,4,0,0
Madison Brengle,4,0,0
Madison Keys,4,0,0
Magda Linette,4,0,0
Magdalena Frech,4,0,0
Marco Cecchinato,4,0,0
Marcos Giron,4,0,0
Maria Sakkari,4,0,0
Marin Cilic,4,0,0
Marta Kostyuk,4,0,0
Martina Trevisan,4,0,0
Mattia Bellucci,4,0,0
Max Purcell,4,0,0
Maxime Cressy,4,0,0
Maximilian Marterer,4,0,0
McCartney Kessler,4,0,0
Mikael Ymer,4,0,0
Naomi Osaka,4,0,0
Nikoloz Basilashvili,4,0,0
Nina Stojanovic,4,0,0
Pablo Andujar,4,0,0
Pedro Cachin,4,0,0
Pedro Martinez,4,0,0
Petra Kvitova,4,0,0
Quentin Halys,4,0,0
Radu Albot,4,0,0
Rafael Nadal,4,0,0
Renata Zarazua,4,0,0
Ricardas Berankis,4,0,0
Richard Gasquet,4,0,0
Robin Montgomery,4,0,0
Roger Federer,4,0,0
Salvatore Caruso,4,0,0
Sam Querrey,4,0,0
Sara Sorribes Tormo,4,0,0
Sebastian Korda,4,0,0
Shelby Rogers,4,0,0
Shuai Zhang,4,0,0
Sofia Kenin,4,0,0
Stan Wawrinka,4,0,0
Steve Johnson,4,0,0
Tallon Griekspoor,4,0,0
Taro Daniel,4,0,0
Tatjana Maria,4,0,0
Tennys Sandgren,4,0,0
Thanasi Kokkinakis,4,0,0
Thiago Seyboth Wild,4,0,0
Tim Van Rijthoven,4,0,0
Venus Williams,4,0,0
Vera Zvonareva,4,0,0
Veronika Kudermetova,4,0,0
Viktoriya Tomova,4,0,0
Yafan Wang,4,0,0
Yannick Hanfmann,4,0,0
Yibing Wu,4,0,0
Yosuke Watanuki,4,0,0
Yulia Putintseva,4,0,0
Anastasia Pavlyuchenkova,4,-0.25,-1
Andrey Rublev,4,-0.25,-1
Aryna Sabalenka,4,-0.25,-1
Ashlyn Krueger,4,-0.25,-1
Benoit Paire,4,-0.25,-1
Carlos Alcaraz,4,-0.25,-1
Emma Navarro,4,-0.25,-1
Karen Khachanov,4,-0.25,-1
Katie Boulter,4,-0.25,-1
Katie Volynets,4,-0.25,-1
Kei Nishikori,4,-0.25,-1
Marton Fucsovics,4,-0.25,-1
Matteo Berrettini,4,-0.25,-1
Miomir Kecmanovic,4,-0.25,-1
Mirra Andreeva,4,-0.25,-1
Paula Badosa,4,-0.25,-1
Sloane Stephens,4,-0.25,-1
Stefan Kozlov,4,-0.25,-1
Ajla Tomljanovic,4,-0.5,-2
Arthur Fils,4,-0.5,-2
Ashleigh Barty,4,-0.5,-2
Caroline Dolehide,4,-0.5,-2
Christopher Eubanks,4,-0.5,-2
Dalma Galfi,4,-0.5,-2
Daniil Medvedev,4,-0.5,-2
Diane Parry,4,-0.5,-2
Dominik Koepfer,4,-0.5,-2
Elina Svitolina,4,-0.5,-2
Facundo Diaz Acosta,4,-0.5,-2
Fiona Ferro,4,-0.5,-2
Garbine Muguruza,4,-0.5,-2
Hugo Dellien,4,-0.5,-2
Ilya Ivashka,4,-0.5,-2
Jelena Ostapenko,4,-0.5,-2
Jodie Burrage,4,-0.5,-2
Jordan Thompson,4,-0.5,-2
Karolina Muchova,4,-0.5,-2
Marketa Vondrousova,4,-0.5,-2
Nicolas Jarry,4,-0.5,-2
Oscar Otte,4,-0.5,-2
Qiang Wang,4,-0.5,-2
Roberto Carballes Baena,4,-0.5,-2
Sorana Cirstea,4,-0.5,-2
Nick Kyrgios,4,-0.75,-3
Roberto Bautista Agut,4,-0.75,-3
