"","model","dataset","n","accuracy","log_loss"
"1","wimbledon_m_first_speed","wimbledon_m",16053,0.7466,0.5352
"2","wimbledon_m_first_ratio","wimbledon_m",16053,0.7476,0.5364
"3","wimbledon_m_second_speed","wimbledon_m",8043,0.5714,0.6643
"4","wimbledon_m_second_ratio","wimbledon_m",8043,0.5742,0.664
"5","wimbledon_f_first_speed","wimbledon_f",10179,0.656,0.6231
"6","wimbledon_f_first_ratio","wimbledon_f",10179,0.6548,0.6257
"7","wimbledon_f_second_speed","wimbledon_f",5243,0.5497,0.6808
"8","wimbledon_f_second_ratio","wimbledon_f",5243,0.5522,0.6807
"9","usopen_m_first_speed","usopen_m",14374,0.7205,0.5672
"10","usopen_m_first_ratio","usopen_m",14374,0.7205,0.5684
"11","usopen_m_second_speed","usopen_m",8404,0.5704,0.6728
"12","usopen_m_second_ratio","usopen_m",8404,0.567,0.6723
"13","usopen_f_first_speed","usopen_f",10047,0.648,0.6239
"14","usopen_f_first_ratio","usopen_f",10047,0.6514,0.6253
"15","usopen_f_second_speed","usopen_f",5437,0.5393,0.6847
"16","usopen_f_second_ratio","usopen_f",5437,0.5439,0.6854
